"AÑO","MES","LÍNEA FONDER","TIPO DE PERSONA","TAMAÑO DE EMPRESA","SECTOR ECONÓMICO","MUNICIPIO","DESTINO","MONTO OTORGADO ($)","PLAZO","GENERO DEL SOLICITANTE","SITUACIÓN DEL SOLICITANTE","DESCENDENCIA DEL SOLICITANTE"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Cali","Capital de trabajo","4,000,000","35","Mujer","Ninguno","Otros"
"2,024","9","1","Persona Natural","Microempresa","Servicios","El Dovio","Inversión","5,200,000","24","Hombre","Desplazado por conflicto armado","Otros"
"2,024","9","1","Persona Natural","Microempresa","Telecomunicaciones","Cali","Capital de trabajo","3,500,000","36","Mujer","Madre cabeza de hogar","Afrodescendiente"
"2,024","9","1","Persona Juridica","Microempresa","Telecomunicaciones","Buenaventura","Inversión","5,200,000","36","Hombre","Padre cabeza de hogar","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Palmira","Capital de trabajo","5,200,000","36","Mujer","Ninguno","Mestizo"
"2,024","9","1","Persona Juridica","Microempresa","Servicios","Cali","Capital de trabajo","5,200,000","36","Mujer","Ninguno","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Cali","Capital de trabajo","3,000,000","24","Mujer","Madre cabeza de hogar","Otros"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Cali","Capital de trabajo","4,000,000","36","Mujer","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Cali","Inversión","5,200,000","12","Mujer","Otros","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Palmira","Capital de trabajo","5,200,000","36","Hombre","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Cali","Capital de trabajo","5,000,000","36","Hombre","Padre cabeza de hogar","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Cali","Capital de trabajo","5,000,000","36","Hombre","Padre cabeza de hogar","Afrodescendiente"
"2,024","9","2","Persona Natural","Pequeña","Servicios","Buga","Capital de trabajo","10,000,000","36","Hombre","Padre cabeza de hogar","Mestizo"
"2,024","9","1","Persona Juridica","Microempresa","Servicios","Cali","Inversión","2,000,000","36","Mujer","Ninguno","Caucásico"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Buenaventura","Inversión","5,200,000","24","Hombre","Padre cabeza de hogar","Indigena"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Buenaventura","Capital de trabajo","5,200,000","30","Hombre","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Cali","Capital de trabajo","1,000,000","36","Mujer","Madre cabeza de hogar","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Buenaventura","Capital de trabajo","5,200,000","24","Hombre","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Palmira","Capital de trabajo","5,200,000","36","Hombre","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Agropecuario","Buenaventura","Capital de trabajo","4,500,000","26","Hombre","Ninguno","Mestizo"
"2,024","9","1","Persona Juridica","Microempresa","Turismo","Roldanillo","Capital de trabajo","5,200,000","35","Mujer","Ninguno","Otros"
"2,024","9","1","Persona Natural","Microempresa","Turismo","Buenaventura","Capital de trabajo","5,000,000","36","Hombre","Padre cabeza de hogar","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Buga","Pago de deudas","5,200,000","35","Mujer","Ninguno","Otros"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Cali","Capital de trabajo","2,000,000","12","Hombre","Ninguno","Mulato"
"2,024","9","1","Persona Natural","Pequeña","Servicios","Cali","Capital de trabajo","500,000","1","Hombre","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Zarzal","Capital de trabajo","5,200,000","35","Mujer","Madre cabeza de hogar","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Palmira","Capital de trabajo","5,000,000","36","Hombre","Otros","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Manufactura","Palmira","Capital de trabajo","5,000,000","36","Hombre","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Cali","Capital de trabajo","5,200,000","36","Mujer","Madre cabeza de hogar","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Cali","Capital de trabajo","4,000,000","28","Mujer","Ninguno","Otros"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Palmira","Capital de trabajo","5,000,000","24","Hombre","Ninguno","Otros"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Buenaventura","Inversión","5,200,000","36","Mujer","Ninguno","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Servicios","Palmira","Inversión","5,000,000","35","Mujer","Madre cabeza de hogar","Otros"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Inversión","3,500,000","24","Hombre","Otros","Afrodescendiente"
"2,024","9","1","Persona Juridica","Microempresa","Comercio","Cali","Capital de trabajo","5,200,000","36","Hombre","Ninguno","Caucásico"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","5,000,000","35","Hombre","Ninguno","Mestizo"
